relative_path,filename,extension,size_mb,folder_depth,parent_folder,suspected_placeholder
DevOps/CI-CD/Effective_DevOps_Building_a_Culture_of_Collaboration 2016.pdf,Effective_DevOps_Building_a_Culture_of_Collaboration 2016.pdf,.pdf,6.08,2,CI-CD,no
DevOps/CI-CD/Go_for_DevOps_Learn_how_to_use_the_Go_language_to_automate_serve.pdf,Go_for_DevOps_Learn_how_to_use_the_Go_language_to_automate_serve.pdf,.pdf,9.72,2,CI-CD,no
DevOps/CI-CD/Grokking Continuous Delivery(конвейер непрер разраб).pdf,Grokking Continuous Delivery(конвейер непрер разраб).pdf,.pdf,28.84,2,CI-CD,no
DevOps/CI-CD/humble_jez_farley_david_continuous_delivery_reliable_softwar.pdf,humble_jez_farley_david_continuous_delivery_reliable_softwar.pdf,.pdf,13.78,2,CI-CD,no
DevOps/CI-CD/Learning DevSecOps (Michelle Ribeiro) (z-lib.org).epub,Learning DevSecOps (Michelle Ribeiro) (z-lib.org).epub,.epub,3.62,2,CI-CD,no
DevOps/CI-CD/Learning Devsecops.pdf,Learning Devsecops.pdf,.pdf,5.64,2,CI-CD,no
DevOps/CI-CD/Modern_DevOps_Practices_Implement_and_secure_DevOps_in_the_public.pdf,Modern_DevOps_Practices_Implement_and_secure_DevOps_in_the_public.pdf,.pdf,6.88,2,CI-CD,no
"DevOps/CI-CD/Pipeline_as_Code_Continuous_Delivery_with_Jenkins,_Kubernetes,_and.pdf","Pipeline_as_Code_Continuous_Delivery_with_Jenkins,_Kubernetes,_and.pdf",.pdf,48.68,2,CI-CD,no
DevOps/CI-CD/PowerShell-modern-automation.pdf,PowerShell-modern-automation.pdf,.pdf,12.17,2,CI-CD,no
DevOps/CI-CD/Python_Непрерывная_интеграция_и_доставка.pdf,Python_Непрерывная_интеграция_и_доставка.pdf,.pdf,1.47,2,CI-CD,no
DevOps/CI-CD/rukovodstvo-po-devops.pdf,rukovodstvo-po-devops.pdf,.pdf,8.82,2,CI-CD,no
DevOps/CI-CD/sharma_sanjeev_the_devops_adoption_playbook_a_guide_to_adopt.pdf,sharma_sanjeev_the_devops_adoption_playbook_a_guide_to_adopt.pdf,.pdf,10.48,2,CI-CD,no
DevOps/CI-CD/Software Telemetry 2022.pdf,Software Telemetry 2022.pdf,.pdf,21.27,2,CI-CD,no
DevOps/CI-CD/____Ластер_Б_Jenkins2_Приступаем_к_работе_2019.pdf,____Ластер_Б_Jenkins2_Приступаем_к_работе_2019.pdf,.pdf,45.32,2,CI-CD,no
DevOps/CI-CD/Безопасный DevOps..pdf,Безопасный DevOps..pdf,.pdf,81.83,2,CI-CD,no
DevOps/CI-CD/Брент_Ластер_Jenkins_2_Приступаем_к_работе_ДМК_Пресс_2019.pdf,Брент_Ластер_Jenkins_2_Приступаем_к_работе_ДМК_Пресс_2019.pdf,.pdf,44.09,2,CI-CD,no
DevOps/CI-CD/Вехен Безопасеый DevOps.pdf,Вехен Безопасеый DevOps.pdf,.pdf,81.4,2,CI-CD,no
DevOps/CI-CD/Глава из книги - DevOps.pdf,Глава из книги - DevOps.pdf,.pdf,0.26,2,CI-CD,no
DevOps/CI-CD/Изучаем OpenTelemetry.pdf,Изучаем OpenTelemetry.pdf,.pdf,3.41,2,CI-CD,no
DevOps/CI-CD/Ким Руководство по devops.pdf,Ким Руководство по devops.pdf,.pdf,9.01,2,CI-CD,no
DevOps/CI-CD/Конвейер разработки-Pipeline_as_Code 2022.pdf,Конвейер разработки-Pipeline_as_Code 2022.pdf,.pdf,47.91,2,CI-CD,no
DevOps/CI-CD/Ленц_М_Python_Непрерывная_интеграция_и_доставка_2020.pdf,Ленц_М_Python_Непрерывная_интеграция_и_доставка_2020.pdf,.pdf,1.47,2,CI-CD,no
DevOps/CI-CD/Настоящий SRE.pdf,Настоящий SRE.pdf,.pdf,4.15,2,CI-CD,no
DevOps/CI-CD/Руководство по DevOps_MIF.pdf,Руководство по DevOps_MIF.pdf,.pdf,5.53,2,CI-CD,no
"DevOps/CI-CD/руководство по devops_джин ким, патрик дебуа, джон.epub","руководство по devops_джин ким, патрик дебуа, джон.epub",.epub,4.02,2,CI-CD,no
DevOps/CI-CD/Ускоряйся! Наука DevOps.pdf,Ускоряйся! Наука DevOps.pdf,.pdf,9.74,2,CI-CD,no
DevOps/CI-CD/Философия DevOps 2017.pdf,Философия DevOps 2017.pdf,.pdf,3.3,2,CI-CD,no
"DevOps/CI-CD/Хаос_инжиниринг_2021_Кейси_Розенталь,_Нора_Джонс.pdf","Хаос_инжиниринг_2021_Кейси_Розенталь,_Нора_Джонс.pdf",.pdf,7.06,2,CI-CD,no
DevOps/Docker/!!!Implementing_DevSecOps_with_Docker_and_Kubernetes_José_Manuel_Ortega.pdf,!!!Implementing_DevSecOps_with_Docker_and_Kubernetes_José_Manuel_Ortega.pdf,.pdf,11.88,2,Docker,no
DevOps/Docker/!Использование Docker.pdf,!Использование Docker.pdf,.pdf,5.45,2,Docker,no
DevOps/Docker/Bootstrapping Microservce.pdf,Bootstrapping Microservce.pdf,.pdf,13.38,2,Docker,no
DevOps/Docker/Chanwit Kaewkasi - Docker for Serverless Applications (2018).pdf,Chanwit Kaewkasi - Docker for Serverless Applications (2018).pdf,.pdf,7.37,2,Docker,no
DevOps/Docker/Docker Deep Dive Zero to Docker in a single book.pdf,Docker Deep Dive Zero to Docker in a single book.pdf,.pdf,8.79,2,Docker,no
DevOps/Docker/Docker for Developers 2020.pdf,Docker for Developers 2020.pdf,.pdf,5.92,2,Docker,no
DevOps/Docker/Docker for Serverless Applications (2018).pdf,Docker for Serverless Applications (2018).pdf,.pdf,7.37,2,Docker,no
DevOps/Docker/Docker без секретов.pdf,Docker без секретов.pdf,.pdf,45.21,2,Docker,no
DevOps/Docker/Docker. Вводный курс.pdf,Docker. Вводный курс.pdf,.pdf,22.48,2,Docker,no
DevOps/Docker/Docker_Compose_для_разработчика_Упростите_разработку.pdf,Docker_Compose_для_разработчика_Упростите_разработку.pdf,.pdf,10.0,2,Docker,no
DevOps/Docker/Docker_на_практике.pdf,Docker_на_практике.pdf,.pdf,8.33,2,Docker,no
DevOps/Docker/Docker_на_практике_2020.pdf,Docker_на_практике_2020.pdf,.pdf,8.33,2,Docker,no
DevOps/Docker/Fraser Adams - Running GUI Applications in Docker (2020).pdf,Fraser Adams - Running GUI Applications in Docker (2020).pdf,.pdf,6.62,2,Docker,no
DevOps/Docker/Learn Docker in a Month of Lunches-1глава.docx,Learn Docker in a Month of Lunches-1глава.docx,.docx,0.92,2,Docker,no
DevOps/Docker/Learn_Kubernetes_Docker_NET_Core_Java_Node_JS_PHP_or_Python_Arnaud.epub,Learn_Kubernetes_Docker_NET_Core_Java_Node_JS_PHP_or_Python_Arnaud.epub,.epub,2.51,2,Docker,no
DevOps/Docker/Mastering Docker  En... by Russ McKendrick.pdf,Mastering Docker  En... by Russ McKendrick.pdf,.pdf,24.38,2,Docker,no
